id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,UUID,data_source,estimated_mass,spectral_type,teff_gspphot,logg_gspphot,mh_gspphot,derived_spectral_type,mtgr_mass,temp_mass,temp_based_b_field,parameter_source,best_spectral_type,spectral_source,best_mass,mass_source,best_b_field,b_field_source,proper_name,flamsteed,simbad_main_id,simbad_ids,CNS3_name,gliese,ybs_name,periphery_distance_au,periphery_source
1,,,,nan,nan; nan,nan,217.39232147200883,-62.67607511676666,1.3019705311704333,-3781.741008265163,769.4650146478623,-21.942726,8.984749,13.411743067769109,M4V,,-0.47481565124324704,-0.36292315816737014,-1.156703999576596,-9.522232688554064,22.096839075942036,21.67419953866272,3.79421177824052,-1.0939038730148676,-1.833439779219922e-05,3.7304716623643313e-06,nan,nan,southern,,0,,0.00036923492480976227,,,,c71e3564-ca53-48fe-858a-9f83fc70ef5e,Gaia DR3,,,2829.3542,5.1373,-0.1806,M4V,0.10378251606254306,0.10378251606254306,400.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M4V,Temperature-derived,0.10378251606254306,MTGR,400.0,Temperature-based,,,,,,,,116.34,estimated_parameters
2,,,,nan,nan; nan,nan,269.44850252543836,4.739420051112412,1.828233981355542,-801.5509783684709,10362.394206546573,-110.46822,8.1939745,11.883815610404723,M3V,,-0.017537128004698872,-1.8218984386783241,0.1510563433489899,-5.8147126816966805,117.57147026209083,80.36434803044216,4.702763533637156,0.08271848452694953,-3.8860288041976835e-06,5.0238304803839736e-05,nan,nan,unknown,,0,,0.0015082514650314452,,,,6c5ed392-8d17-426f-8661-bbe562da6509,Gaia DR3,,,3099.6335,4.764,-0.9072,M3V,0.30394632291704243,0.30394632291704243,300.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M3V,Temperature-derived,0.30394632291704243,MTGR,300.0,Temperature-based,,,,,,,,181.06,estimated_parameters
3,,,,nan,nan; nan,nan,164.10319030755974,7.002726940984864,2.408597252748958,-3866.3382751436793,-2699.214987679166,,11.038391,14.129570179980167,,,-2.2992040533339435,0.6548070944432551,0.2936479459307971,,,,2.8641409838937637,0.12222064173829653,-1.874453691587101e-05,-1.3086163542827672e-05,nan,nan,Leo,,0,,0.00019062151989272325,,,,a5e815f2-a1ff-40ec-b0fe-070f90ab48e3,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
4,,,,nan,nan; nan,nan,165.83095967577933,35.948653032660104,2.5461298549469777,-580.0570872139048,-4776.588719443488,-85.11064,6.551172,9.521769033144954,M0V,,-1.9984962852462496,0.504548432984493,1.4947309841179284,35.705561328003455,-1.7942073422516458,-96.63280590268307,2.8942962480842978,0.6274223570769635,-2.8121961170584835e-06,-2.315755560219682e-05,nan,nan,Boo,,0,,0.01328288420775215,,,,49abe3ef-1e31-4c3d-8d40-41c5235ea153,Gaia DR3,,,3511.045,4.8322,-0.1783,M0V,0.31948267144716896,0.31948267144716896,200.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M0V,Temperature-derived,0.31948267144716896,MTGR,200.0,Temperature-based,,,,,,,,543.87,safedistance.py
5,,,,nan,nan; nan,nan,101.28662552099249,-16.720932526023173,2.6703012063129745,-461.570505530133,-914.5196209016666,,8.524133,11.391331468829362,,,-0.5005260934275962,2.507935000451884,-0.7682735162317156,,,,1.7677851035758358,-0.2918353265829168,-2.237756958776532e-06,-4.433716238562344e-06,nan,nan,Ori,,0,,0.0023739272870769777,,,,81883a19-d575-450b-a1cf-6e154bf84862,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
6,,,,nan,nan; nan,nan,24.771674208211856,-17.947682860008488,2.674910296032687,3178.6942575748953,584.0613350385156,10.249533,10.817838,13.68129160315939,,,2.3105892291965127,1.0662562359523688,-0.8242694614235254,-5.961518727916173,41.636169738746695,3.8866223547301493,0.43234727616465624,-0.31324615901090064,1.5410744641366285e-05,2.8316092583377273e-06,nan,nan,Cet,,0,,0.0002880602668940792,,,,ad51a7b1-8550-4653-b138-7fe70a891060,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
7,,,,nan,nan; nan,nan,24.771554293454546,-17.948299887129313,2.7195203918735054,3385.315810465071,544.3863845619521,21.458223,10.507542,13.33508005825072,,,2.3491175329244247,1.084029739143415,-0.8380438550431288,2.2144903948825565,49.08269199194036,0.06338577019684077,0.43234518325731947,-0.31325692816573314,1.6412474197898834e-05,2.639259670453915e-06,nan,nan,Cet,,0,,0.00039624881522741463,,,,e6d41ae4-604a-44b7-8709-feb4bae5cff5,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
8,,,,nan,nan; nan,nan,282.4587890175222,-23.83709744872712,2.9759548649868903,639.367850335873,-193.95792507116096,-11.11644,9.126414,11.758282598169881,M2V,,0.5872587287417385,-2.65799896501893,-1.202695325472779,6.374355672399465,12.954135935519943,1.9899796817954791,4.929835869551761,-0.4160358345990285,3.0997428110442546e-06,-9.40334556341171e-07,nan,nan,Sgr,,0,,0.0016931169625625405,,,,b4c4882a-5071-4130-9484-ec216e024b59,Gaia DR3,,,3117.376,4.776,-0.84,M2V,0.3046410520780591,0.3046410520780591,200.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M2V,Temperature-derived,0.3046410520780591,MTGR,200.0,Temperature-based,,,,,,,,158.56,estimated_parameters
9,,,,nan,nan; nan,nan,355.4800152581559,44.170375700747755,3.159745481768476,112.52746493350043,-1591.6497618145506,-77.289825,10.379277,12.881016721779119,,,2.259345026730549,-0.1786072714292181,2.2016927583877,-38.57368075757286,4.739956265899787,-70.95373852059386,6.204296691294501,0.7709184878209459,5.455485450033457e-07,-7.716535800624284e-06,nan,nan,unknown,,0,,0.0006019955920816558,,,,1f8468c9-f552-4dc4-beaa-9dd2b2f7e335,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
10,,,,nan,nan; nan,101G Eri,53.22829341517546,-9.458168216292322,3.219810408490127,-974.758145249517,20.875840089774208,,3.465752,5.92660038653875,G8V,,1.901266709590032,2.5440938773667234,-0.5291033063317636,,,,0.9290089753124288,-0.1650761765817802,-4.725760845899222e-06,1.012089288017746e-07,nan,nan,Cet,,0,,0.364216691844176,,,,f535a06d-a200-4bb0-9bda-4fe5bd379b1b,Gaia DR3,,,5002.0435,4.5631,0.1258,G8V,0.8502084155835121,0.8502084155835121,1.5,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,G8V,Temperature-derived,0.8502084155835121,MTGR,1.5,Temperature-based,,,,,18Eps Eri,,101G Eri,55.71,safedistance.py
11,,,,nan,nan; nan,nan,346.5039166796005,-35.8471642082214,3.2880095551861235,6765.995136250774,1330.2852747179845,8.306988,6.5220323,8.937366906094589,M1V,,2.5916042383723417,-0.6220017622155175,-1.9255409926684381,42.96348151933666,98.13221801535943,11.940786103679287,6.047634217115126,-0.6256510429365296,3.2802470083749543e-05,6.449405009618364e-06,nan,nan,southern,,0,,0.022753763384487265,,,,919dda20-f66c-4aa9-9515-fe8b64e32490,Gaia DR3,,,3376.0845,4.1558,-0.9754,M1V,0.3145126186929981,0.3145126186929981,200.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M1V,Temperature-derived,0.3145126186929981,MTGR,200.0,Temperature-based,,,,,,,,161.11,estimated_parameters
12,,,,nan,nan; nan,nan,176.93768799004127,0.7991199702364985,3.374897355164646,607.2990766811824,-1223.0283548879977,,9.601,11.959696988930675,M3V,,-3.36975031091258,0.18027617808067314,0.047069094090732524,,,,3.088145226292648,0.013947274599065989,2.944269009002264e-06,-5.929408788345902e-06,nan,nan,Vir,,0,,0.0014064399835679914,,,,4764b2bf-437b-48d8-a0d6-2b3562255090,Gaia DR3,,,3093.4,5.0554,-0.2009,M3V,0.3037016698560136,0.3037016698560136,300.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M3V,Temperature-derived,0.3037016698560136,MTGR,300.0,Temperature-based,,,,,,,,180.99,estimated_parameters
13,,,,nan,nan; nan,nan,316.753662752556,38.75607277205679,3.4964380683468383,4105.976428209489,3155.9416398273515,-64.593544,5.4506445,7.732515292703403,K7V,,1.9860853842270936,-1.8680832654903077,2.188791658778779,-13.918524273933013,106.51199923522267,0.351488338046245,5.528394332783827,0.6764210750149168,1.9906335467092272e-05,1.5300436837715638e-05,nan,nan,Cyg,,0,,0.06902300818118039,,,,12165864-f44e-4bc8-b0f5-1fc9b7b75a6d,Gaia DR3,,,3889.6328,4.548,-0.484,K7V,0.33284052234531153,0.33284052234531153,211.51090718783806,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,K7V,Temperature-derived,0.33284052234531153,MTGR,211.51090718783806,Temperature-based,,,,,,,,168.83,estimated_parameters
14,,,,nan,nan; nan,nan,316.7484792940004,38.76386244649797,3.4965652573897277,4164.2086922846665,3249.613883848584,-65.97495,4.766713,7.048504952329699,K2V,,1.9857718465963754,-1.8681269712256712,2.189241967400889,-14.739304830512491,108.6229553768525,0.6872889183024853,5.528303864365391,0.6765570304815738,2.0188653450148565e-05,1.575457269213288e-05,nan,nan,Cyg,,0,,0.12959791634382747,,,,fbf62bfa-1b3a-4e22-84a0-c341b4f7c794,Gaia DR3,,,4353.7437,4.6322,0.2244,K2V,0.7302969241425773,0.7302969241425773,1.5,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,K2V,Temperature-derived,0.7302969241425773,MTGR,1.5,Temperature-based,,,,,,,,48.85,estimated_parameters
15,,,,nan,nan; nan,nan,280.6830708352289,59.638357907754816,3.5231101472943926,-1311.6790825522846,1792.3245558304384,-1.303306,7.854393,10.11976189901021,M1V,,0.3301139821486718,-1.7499128120454932,3.0399235218994733,-26.434436328974954,21.965186087763513,14.004249368123016,4.898843740683215,1.0408857059731182,-6.35919964446552e-06,8.689434656551688e-06,nan,nan,Dra,,0,,0.007657645199811988,,,,ef2cdf5d-cc6b-4a50-8c33-cb09e9ac4c80,Gaia DR3,,,3352.192,4.8588,-0.1016,M1V,0.31362039790164786,0.31362039790164786,200.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M1V,Temperature-derived,0.31362039790164786,MTGR,200.0,Temperature-based,,,,,,,,160.88,estimated_parameters
